group_name,seqnames,start,end
cg16504019,chr16,20817428,20817430
cg02804921,chr9,139924708,139924710
cg00762029,chr4,185317437,185317439
cg26759440,chr12,1644681,1644683
cg11019190,chr5,6608912,6608914
cg16865970,chr2,46063593,46063595
cg09863821,chr2,160589099,160589101
cg07766263,chr3,170303044,170303046
cg17544101,chr7,139111209,139111211
cg05348816,chr22,39804386,39804388
cg05486872,chr18,3066821,3066823
cg23991482,chr19,2324438,2324440
cg18445426,chr2,89159204,89159206
cg14007090,chr20,60915008,60915010
cg05350176,chr2,65384930,65384932
cg10923088,chr20,60976986,60976988
cg10723617,chr17,55533388,55533390
cg09041183,chr13,114270793,114270795
cg10133935,chr19,1423752,1423754
cg16249322,chr20,62199474,62199476
cg19588519,chr10,125817816,125817818
cg22568423,chr19,8590566,8590568
cg23031705,chr22,28390865,28390867
cg01154505,chr2,112940408,112940410
cg01475138,chr6,118790377,118790379
cg20949306,chr2,135926633,135926635
cg23966795,chr2,160068464,160068466
cg04204972,chr12,6747562,6747564
cg07878580,chr13,114793630,114793632
cg11310954,chr7,99950767,99950769
cg10388349,chr5,60643048,60643050
cg10217454,chr6,218488,218490
cg01150646,chr17,1377303,1377305
cg02523893,chr5,176861822,176861824
cg09046399,chr5,179264097,179264099
cg21585409,chr7,5270511,5270513
cg19602649,chr11,111250618,111250620
cg14433374,chr6,155135463,155135465
cg24806646,chr7,43682669,43682671
cg27324619,chr22,31518859,31518861
cg16229875,chr14,23589065,23589067
cg12717944,chr11,61647735,61647737
cg01740922,chr9,130473595,130473597
cg26186239,chr20,62119491,62119493
cg08897688,chr12,13256868,13256870
cg17467243,chr8,30413918,30413920
cg04422637,chr12,65155129,65155131
cg18053607,chr22,31518962,31518964
cg04387390,chr1,114414789,114414791
cg16075139,chr11,2406922,2406924
cg06127601,chr5,6607398,6607400
cg08842616,chr16,70733771,70733773
cg27237019,chr2,69811773,69811775
cg11261614,chr19,7463782,7463784
cg00116699,chr2,240205259,240205261
cg02590401,chr19,48984070,48984072
cg24397554,chr11,67845356,67845358
cg17995557,chr10,126289970,126289972
cg23030329,chr6,158178598,158178600
cg24777505,chr17,80829603,80829605
cg26783127,chr17,79128917,79128919
cg12823087,chr9,113119207,113119209
cg14755717,chr11,2415045,2415047
cg16147236,chr3,5056201,5056203
cg05860212,chr10,112183773,112183775
cg21937061,chr16,21656223,21656225
cg10917881,chr2,37863869,37863871
cg07846307,chr17,3861531,3861533
cg09289291,chr2,233853299,233853301
cg18304186,chr8,103129363,103129365
cg23440556,chr19,45487801,45487803
cg09643136,chr2,223176682,223176684
cg10899887,chr16,3162432,3162434
cg10401362,chr7,157185401,157185403
cg25573640,chr14,64228598,64228600
cg12595310,chr17,42664755,42664757
cg07223007,chr5,158643121,158643123
cg03145866,chr5,132012054,132012056
cg19005485,chr3,197272327,197272329
cg19627093,chr8,1900891,1900893
cg03319070,chr12,125345166,125345168
cg08014024,chr10,134373102,134373104
cg18462898,chr19,19282450,19282452
cg01658523,chr10,103348866,103348868
cg12062497,chr11,64567228,64567230
cg19582460,chr16,1672050,1672052
cg00216676,chr11,134112381,134112383
cg08056558,chr20,4927340,4927342
cg01584094,chr21,45254456,45254458
cg01972900,chr2,105925785,105925787
cg18678635,chr12,1687226,1687228
cg04100967,chr22,42752682,42752684
cg23334433,chr17,79129050,79129052
cg21828319,chr7,73645965,73645967
cg22820108,chr12,125003217,125003219
cg16330893,chr8,118662803,118662805
cg04475307,chr3,9694904,9694906
cg01040749,chr10,134400439,134400441
cg27124432,chr12,26512733,26512735
cg21590352,chr11,1699983,1699985
cg09367522,chr5,154172824,154172826
cg21946374,chr5,1108400,1108402
cg06292310,chr11,68581323,68581325
cg04331601,chr19,17633879,17633881
cg18148870,chr14,64933963,64933965
cg04582760,chr15,91488529,91488531
cg05287483,chr20,5551375,5551377
cg07814536,chr22,19086800,19086802
cg00292334,chr5,100115828,100115830
cg09976287,chr6,26565964,26565966
cg02313207,chr5,132279577,132279579
cg01238865,chr13,113812910,113812912
cg18405880,chr3,63978544,63978546
cg10797387,chr14,105154556,105154558
cg23666117,chr6,31629908,31629910
cg00170307,chr7,95752709,95752711
cg17790965,chr22,44392364,44392366
cg07139337,chr12,57443915,57443917
cg18265046,chr3,45529191,45529193
cg01235607,chr5,176912136,176912138
cg00391741,chr3,127307226,127307228
cg02371766,chr12,92839289,92839291
cg18694540,chr5,159859432,159859434
cg01135584,chr7,36640145,36640147
cg06496803,chr4,6940914,6940916
cg19260718,chr11,75989013,75989015
cg22856068,chr22,18125707,18125709
cg11492864,chr21,33634299,33634301
cg06784232,chr8,19463149,19463151
cg10190756,chr18,28777934,28777936
cg16365747,chr19,33162956,33162958
cg09859659,chr8,142180108,142180110
cg03930004,chr7,150778790,150778792
cg23719508,chr7,2623998,2624000
cg08617194,chr12,123875770,123875772
cg04346861,chr2,240291096,240291098
cg20156237,chr8,144543749,144543751
cg15227548,chr14,23775662,23775664
cg02647748,chr17,29281086,29281088
cg24110648,chr16,385052,385054
cg11597277,chr20,52492247,52492249
cg09043854,chr2,86831035,86831037
cg13396168,chr17,75461545,75461547
cg11803771,chr11,65408565,65408567
cg23356141,chr20,60821412,60821414
cg23858605,chr6,30153867,30153869
cg25371762,chr21,47674424,47674426
cg21650822,chr19,8367076,8367078
cg17319795,chr14,93170807,93170809
cg09831549,chr2,68947187,68947189
cg25702512,chr10,3938516,3938518
cg11618529,chr19,58952107,58952109
cg01582532,chr16,85676525,85676527
cg08066129,chr21,38077257,38077259
cg20181262,chr12,132283955,132283957
cg01811355,chr8,29914020,29914022
cg04756491,chr14,23385383,23385385
cg26152480,chr2,203473436,203473438
cg16412914,chr16,358247,358249
cg12437013,chr13,114161938,114161940
cg02167476,chr9,131667727,131667729
cg17531288,chr2,11482818,11482820
cg15286847,chr16,84690432,84690434
cg25578124,chr9,124014936,124014938
cg03024546,chr16,11223515,11223517
cg26783146,chr16,4423631,4423633
cg08788250,chr5,13986020,13986022
cg21432462,chr13,114263736,114263738
cg13916111,chr13,99140010,99140012
cg26247093,chr7,2773811,2773813
cg13790259,chr19,42704705,42704707
cg24534583,chr7,5709853,5709855
cg26090034,chr12,31752317,31752319
cg21417130,chr1,19400921,19400923
cg14078100,chr11,29303807,29303809
cg14337149,chr22,18077488,18077490
cg00320269,chr17,437834,437836
cg12583266,chr6,13391247,13391249
cg10173751,chr17,2893990,2893992
cg15777606,chr6,15496614,15496616
cg24143645,chr6,149347811,149347813
cg16085171,chr12,123569117,123569119
cg06865642,chr22,50174027,50174029
cg08098128,chr2,220112464,220112466
cg25940713,chr17,8094114,8094116
cg15942206,chr8,142182535,142182537
cg09540676,chr3,193721416,193721418
cg01898056,chr10,127751267,127751269
cg00934322,chr6,30854108,30854110
cg00343906,chr1,1696691,1696693
cg25319055,chr10,255346,255348
cg07719172,chr12,109889430,109889432
cg06690535,chr3,196352141,196352143
cg02711800,chr7,158525800,158525802
cg04011995,chr1,41326316,41326318
cg13784559,chr2,131128162,131128164
cg21062739,chr15,52420567,52420569
cg23328493,chr7,101807911,101807913
cg13843335,chr12,31456572,31456574
cg17385482,chr20,45891588,45891590
cg01407558,chr3,46339668,46339670
cg25739938,chr2,9610620,9610622
cg00256485,chr5,1494979,1494981
cg01936636,chr11,3058445,3058447
cg27186420,chr16,69975589,69975591
cg01183860,chr14,99787619,99787621
cg11460520,chr14,65121862,65121864
cg01112784,chr10,62671135,62671137
cg14783239,chr20,24961059,24961061
cg00295574,chr14,61568216,61568218
cg05762432,chr4,169663077,169663079
cg15823038,chr3,14483666,14483668
cg08326934,chr4,3081684,3081686
cg12255554,chr20,55982977,55982979
cg21863296,chr20,45989594,45989596
cg03808896,chr5,132160488,132160490
cg02737462,chr1,8572740,8572742
cg23923179,chr16,48395741,48395743
cg24409666,chr3,127299443,127299445
cg00290637,chr12,54807845,54807847
cg18332229,chr7,971129,971131
cg17291840,chr9,132579515,132579517
cg20890056,chr14,77586410,77586412
cg00873906,chr13,49148447,49148449
cg14889653,chr11,1297249,1297251
cg01938023,chr5,138855698,138855700
cg01152055,chr20,62266766,62266768
cg02319986,chr19,8568711,8568713
cg07298177,chr16,85577846,85577848
cg07283015,chr18,22039856,22039858
cg06865036,chr19,10678014,10678016
cg04476070,chr16,88679599,88679601
cg23055674,chr7,99954283,99954285
cg18994841,chr3,56950726,56950728
cg27543981,chr7,132427038,132427040
cg02812264,chr12,67843708,67843710
cg25853005,chr11,67050712,67050714
cg13618969,chr9,129184185,129184187
cg12710615,chr8,13051809,13051811
cg04853319,chr16,68827443,68827445
cg16419756,chr5,1097793,1097795
cg25395087,chr6,158409884,158409886
cg08622923,chr12,122712115,122712117
cg21805118,chr12,122712152,122712154
cg24298539,chr8,37378423,37378425
cg09623077,chr18,57298310,57298312
cg01087801,chr6,45413905,45413907
cg16473184,chr17,56468960,56468962
cg04207180,chr21,37682599,37682601
cg12857080,chr9,138967871,138967873
cg15819435,chr3,15387431,15387433
cg05355684,chr16,88720378,88720380
cg13792713,chr18,46582163,46582165
cg16089974,chr9,91965827,91965829
cg10646283,chr20,32993382,32993384
cg04276715,chr6,33254459,33254461
cg03835233,chr6,170754690,170754692
cg02159419,chr22,40797674,40797676
cg01772407,chr20,35490500,35490502
cg02270433,chr16,89845388,89845390
cg07149048,chr6,117859845,117859847
cg19259111,chr11,46478213,46478215
cg00775909,chr11,113935050,113935052
cg24848696,chr11,6226150,6226152
cg24169118,chr6,52185337,52185339
cg05226462,chr16,3162452,3162454
cg03313271,chr13,113913093,113913095
cg07401928,chr19,38411856,38411858
cg21122199,chr17,58499719,58499721
cg14990796,chr7,2116533,2116535
cg19479214,chr22,25458552,25458554
cg13920875,chr1,9776660,9776662
cg21811986,chr3,5053131,5053133
cg02769451,chr1,39826511,39826513
cg00360780,chr16,4697301,4697303
cg10388100,chr3,6167325,6167327
cg22715788,chr7,2624147,2624149
cg16689434,chr16,90089546,90089548
cg22454744,chr14,105332599,105332601
cg24864772,chr3,32449611,32449613
cg05941925,chr7,97755782,97755784
cg13255542,chr11,134120784,134120786
cg24069928,chr6,167366775,167366777
cg03948938,chr9,137263722,137263724
cg14590394,chr8,130603986,130603988
cg04759756,chr20,35273932,35273934
cg11990892,chr2,242213720,242213722
cg22312249,chr17,72779427,72779429
cg25771026,chr3,196352026,196352028
cg20794855,chr8,67365339,67365341
cg05288655,chr12,113520693,113520695
cg10726093,chr2,28661556,28661558
cg15244101,chr12,49627623,49627625
cg01426713,chr6,106517532,106517534
cg09529363,chr8,21859909,21859911
cg02185248,chr17,78748493,78748495
cg07102611,chr14,69908981,69908983
cg05595469,chr21,47845862,47845864
cg09242530,chr5,79439550,79439552
cg03278108,chr9,127117812,127117814
cg21553182,chr19,52956820,52956822
cg12840069,chr2,85655941,85655943
cg09273030,chr2,242566904,242566906
cg18729704,chr10,105159483,105159485
cg02258482,chr16,23434957,23434959
cg24320290,chr7,129240075,129240077
cg20888499,chr2,426251,426253
cg01084425,chr15,90767096,90767098
cg06857898,chr12,111560434,111560436
cg00980047,chr12,121642720,121642722
cg04602992,chr17,62009627,62009629
cg06591728,chr9,124708684,124708686
cg19205426,chr8,48282676,48282678
cg27068385,chr12,122470619,122470621
cg07516556,chr5,1475095,1475097
cg15082870,chr7,36022840,36022842
cg24135868,chr5,142217045,142217047
cg12828610,chr6,122806039,122806041
cg16339729,chr19,2324660,2324662
cg26503073,chr7,6704073,6704075
cg13084311,chr9,95491678,95491680
cg14818277,chr7,41956426,41956428
cg15339539,chr3,184890597,184890599
cg05305521,chr8,126604453,126604455
cg10470144,chr9,95029321,95029323
cg11123381,chr7,36554613,36554615
cg04682832,chr6,159240982,159240984
cg17388108,chr6,66936302,66936304
cg04089260,chr6,159538729,159538731
cg18857618,chr2,87048488,87048490
cg26077615,chr11,70204928,70204930
cg21281638,chr7,6631354,6631356
cg08251248,chr10,74086589,74086591
cg06932760,chr12,109193660,109193662
cg16216349,chr4,185316748,185316750
cg07099481,chr15,86237652,86237654
cg01026915,chr20,31056840,31056842
cg12103569,chr12,132258559,132258561
cg25369262,chr1,46649131,46649133
