Name	UCSC_RefGene_Name	UCSC_RefGene_Group	Regulatory_Feature_Group	CHR_hg38	Start_hg38	End_hg38
cg16531348	AGPAT3;AGPAT3	5'UTR;5'UTR	Unclassified_Cell_type_specific	chr21	43957335	43957337
cg01165403	PPP2R3A;PPP2R3A;PPP2R3A	Body;Body;Body		chr3	136114684	136114686
cg14516946	NLN	Body		chr5	65760432	65760434
cg08566157				chr8	2156602	2156604
cg22565340	SPI1;SPI1	TSS200;TSS200	Promoter_Associated_Cell_type_specific	chr11	47378623	47378625
cg20110671	CHST11;CHST11	Body;Body		chr12	104638940	104638942
cg14209800				chr2	26000652	26000654
cg27579854	TBCD	Body		chr17	82861115	82861117
cg04593668	TCF7;TCF7;TCF7;TCF7;TCF7;TCF7	Body;Body;Body;Body;Body;Body		chr5	134131299	134131301
cg00030432	MEPCE	1stExon		chr7	100431350	100431352
cg07832056	MTSS1;MTSS1;MTSS1	Body;Body;Body		chr8	124686080	124686082
cg26826793	BRPF3	Body	Unclassified_Cell_type_specific	chr6	36204242	36204244
cg10606834			Unclassified_Cell_type_specific	chr17	61454835	61454837
cg10247643	APP;APP;APP;APP;APP;APP;APP;APP;APP;APP	Body;Body;Body;Body;Body;Body;Body;Body;Body;Body		chr21	25964165	25964167
cg00291573				chr5	17343851	17343853
cg08500472				chr21	18529519	18529521
cg19626138	RAB11FIP1;RAB11FIP1;RAB11FIP1	Body;TSS1500;Body		chr8	37874450	37874452
cg15679935				chr2	68834995	68834997
cg23821920	MED15;MED15;MED15;MED15;MED15;MED15	Body;Body;Body;Body;Body;Body	Promoter_Associated	chr22	20550968	20550970
cg17175527	CORO1C;CORO1C;CORO1C	Body;Body;Body		chr12	108666029	108666031
cg14855367	UTS2D;CCDC50;CCDC50;UTS2D	1stExon;Body;Body;5'UTR		chr3	191330518	191330520
cg13165240	C17orf85;C17orf85	3'UTR;3'UTR		chr17	3812448	3812450
cg17285931	HDAC4	Body		chr2	239283711	239283713
cg08935101	AKNAD1;AKNAD1	Body;Body		chr1	108846127	108846129
cg17965495	ATP13A3	Body		chr3	194449494	194449496
cg13663572				chr6	170464212	170464214
cg08166169	TBC1D14;TBC1D14	Body;Body		chr4	6939174	6939176
cg07684151	CMIP;CMIP	Body;Body		chr16	81501462	81501464
cg02010763	RORA	Body		chr15	60752629	60752631
cg18445108	C17orf87	TSS200		chr17	5234963	5234965
cg00024705	BIRC6	Body		chr2	32442408	32442410
cg24431966	P4HB	3'UTR		chr17	81843910	81843912
cg22840076	HNRNPUL1;HNRNPUL1	Body;Body		chr19	41276250	41276252
cg10617605	FAM53B	Body		chr10	124683493	124683495
cg21246698				chr6	3912129	3912131
cg15564329	HPS4;HPS4;HPS4;HPS4	Body;Body;Body;Body		chr22	26463987	26463989
cg14328332	DENND5B-AS1	Body		chr12	31599413	31599415
cg04372535	AP2A2	Body		chr11	968935	968937
cg11167160	DHODH	Body		chr16	72017343	72017345
cg22854223	CD82;CD82	TSS1500;TSS1500	Promoter_Associated	chr11	44564954	44564956
cg18855165				chr9	91197402	91197404
cg08597292	GABRR2	Body		chr6	89286308	89286310
cg24417971	CUX1;CUX1;CUX1;CUX1;CUX1;CUX1;CUX1	Body;Body;Body;Body;Body;Body;Body		chr7	101882957	101882959
cg22004608			Unclassified_Cell_type_specific	chr6	17086691	17086693
cg13632064	PAOX;PAOX;PAOX;PAOX;PAOX;PAOX;PAOX	3'UTR;Body;Body;Body;Body;Body;Body		chr10	133390963	133390965
cg00674311	DIP2C	Body		chr10	306407	306409
cg09272864	AP4S1;AP4S1;AP4S1;AP4S1;AP4S1;AP4S1	3'UTR;Body;Body;Body;Body;Body		chr14	31084576	31084578
cg04517263	TRAF1	TSS200	Unclassified	chr9	120926914	120926916
cg02914652			Unclassified	chr12	4307975	4307977
cg04486961	CCDC12;CCDC12;CCDC12	Body;Body;Body		chr3	46965337	46965339
cg22852103	PIP4K2A	Body	Unclassified	chr10	22611918	22611920
cg18001454	PPFIA1;PPFIA1;PPFIA1	Body;Body;Body		chr11	70358854	70358856
cg05575505				chr15	100721956	100721958
cg14346774	LOC100506403	Body		chr21	35465944	35465946
cg11931360	IQSEC1;IQSEC1	Body;Body		chr3	12947319	12947321
cg02301939	C5orf28	5'UTR		chr5	43477325	43477327
cg07531268	OSR1	3'UTR		chr2	19351988	19351990
cg26655028	RBM47	5'UTR		chr4	40562353	40562355
cg26925554				chr6	36363287	36363289
cg07962785	SAMD8;SAMD8	Body;Body		chr10	75159335	75159337
cg06068163	EIF3B;EIF3B	Body;Body		chr7	2362704	2362706
cg15665949	CORO1A;CORO1A	Body;Body		chr16	30185227	30185229
cg11065972	RIN3	Body		chr14	92531714	92531716
cg17344033	TNKS1BP1	5'UTR		chr11	57322800	57322802
cg05253716	SLC15A4;MGC16384	Body;TSS200		chr12	128814786	128814788
cg16989646	SLC25A15	5'UTR	Promoter_Associated	chr13	40790108	40790110
cg26761982				chr20	22619493	22619495
cg14898366	KDM4B	Body		chr19	5075692	5075694
cg02341139				chr2	112257873	112257875
cg25817701	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body	Unclassified	chr7	2100507	2100509
cg10837924				chr12	54988659	54988661
cg14233313	OS9;OS9;OS9;OS9;OS9;OS9;OS9;OS9	Body;Body;Body;Body;Body;Body;Body;Body		chr12	57715569	57715571
cg12123300			Unclassified_Cell_type_specific	chr7	140210611	140210613
cg19351604	ARHGEF10	Body		chr8	1922555	1922557
cg17169982	TBCD;ZNF750	Body;3'UTR		chr17	82830096	82830098
cg26760894	TRAF3IP2-AS1;TRAF3IP2-AS1;TRAF3IP2-AS1;TRAF3IP2;TRAF3IP2;TRAF3IP2	Body;Body;Body;Body;Body;Body		chr6	111576626	111576628
cg09459403	ITPR1;ITPR1;ITPR1	Body;Body;Body	Unclassified	chr3	4822351	4822353
cg26906795				chr20	32856960	32856962
cg13006424	TMEM131	Body	Gene_Associated	chr2	97761475	97761477
cg19961411	LINC00911;LINC00911	Body;Body		chr14	85415637	85415639
cg21373806	BAHCC1	Body		chr17	81452807	81452809
cg10644115	ARHGAP26;ARHGAP26	Body;Body		chr5	142924730	142924732
cg16925811	ACTR3;ACTR3;ACTR3	5'UTR;Body;Body		chr2	113915341	113915343
cg22546332				chr16	51994834	51994836
cg15698795	TBC1D10C	Body	Promoter_Associated	chr11	67409631	67409633
cg16995865	XXYLT1	Body		chr3	195258971	195258973
cg12669464				chr4	123344020	123344022
cg06533895	DCUN1D3	5'UTR		chr16	20897376	20897378
cg22973062	RAB8B	Body		chr15	63214572	63214574
cg17207690	NMUR1	Body		chr2	231528352	231528354
cg20171453	RHOH	TSS1500		chr4	40196508	40196510
cg06160789	EPG5	3'UTR		chr18	45850185	45850187
cg12355887	ERGIC1	Body		chr5	172878923	172878925
cg23348269				chr20	57437748	57437750
cg06072036	PNPLA2	Body	Gene_Associated_Cell_type_specific	chr11	822401	822403
cg02218268	SLX4	Body		chr16	3596440	3596442
cg20098659	CLEC9A;CLEC9A	1stExon;5'UTR		chr12	10030764	10030766
cg05157335				chr2	230882012	230882014
cg12859112	TMEM14B;TMEM14B	Body;Body		chr6	10751747	10751749
cg21616243	MGC16384;SLC15A4	TSS1500;Body		chr12	128815156	128815158
cg04234016	PTPN6;PTPN6;PTPN6	Body;Body;Body		chr12	6952945	6952947
cg12578084	TERF2	Body		chr16	69368451	69368453
cg03635646	MYLK-AS1;MYLK-AS1	Body;Body		chr3	123610469	123610471
cg12649238				chr6	36701980	36701982
cg21209552	TFCP2;TFCP2;TFCP2;TFCP2;TFCP2;TFCP2	ExonBnd;ExonBnd;ExonBnd;Body;Body;Body		chr12	51118633	51118635
cg19998289	RNF34;RNF34	3'UTR;3'UTR		chr12	121423812	121423814
cg14563658	BCL2A1;BCL2A1	Body;Body		chr15	79962341	79962343
cg26444528	PCDH17	1stExon		chr13	57633724	57633726
cg12460838	PI16;PI16;PI16;PI16	ExonBnd;ExonBnd;Body;Body	Promoter_Associated_Cell_type_specific	chr6	36962919	36962921
cg06449094	PNPLA2	Body	Gene_Associated_Cell_type_specific	chr11	822396	822398
cg15176266	FOXK2	Body		chr17	82581856	82581858
cg05398700	WDR20	Body		chr14	102210803	102210805
cg20775671				chr10	73902591	73902593
cg20077668	ITPR2	Body		chr12	26496314	26496316
cg05897307	STARD4-AS1	Body		chr5	111680820	111680822
cg14564439	PRKRIP1;LOC100630923	3'UTR;Body	Promoter_Associated	chr7	102426618	102426620
cg05099692				chr12	52280471	52280473
cg10745620	RAB7A	5'UTR		chr3	128765195	128765197
cg01229337	B4GALT1-AS1;B4GALT1-AS1;B4GALT1-AS1	Body;Body;Body		chr9	33173140	33173142
cg18064706	PTPRN2;PTPRN2;PTPRN2	Body;Body;Body		chr7	157853963	157853965
cg01639416	NFX1;NFX1;NFX1	Body;Body;Body		chr9	33319098	33319100
cg08253808	WDR20	Body		chr14	102210619	102210621
cg13313251	DHRS12;DHRS12;DHRS12	Body;Body;Body	Unclassified_Cell_type_specific	chr13	51794154	51794156
cg17005263			Promoter_Associated	chr8	101137788	101137790
cg18630091	DENND3	Body		chr8	141172639	141172641
cg03116466	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body		chr7	2076876	2076878
cg20859082				chr4	72604490	72604492
cg14150023	TNRC6B;TNRC6B;TNRC6B	3'UTR;3'UTR;3'UTR	Promoter_Associated_Cell_type_specific	chr22	40324626	40324628
cg16061498			NonGene_Associated_Cell_type_specific	chr18	57428653	57428655
cg27586626	LINC00299	Body		chr2	8298842	8298844
cg16183122	LDB3;LDB3;LDB3	Body;Body;Body		chr10	86706631	86706633
cg04864807				chr2	120654562	120654564
cg05696274	SPATA13;SPATA13;SPATA13;SPATA13;SPATA13;SPATA13	Body;Body;Body;Body;Body;Body		chr13	24279922	24279924
cg07658036	PDIA5;PDIA5	TSS1500;TSS1500	Promoter_Associated	chr3	123066731	123066733
cg06815444	SLC35C2;SLC35C2;SLC35C2;SLC35C2;SLC35C2;SLC35C2;SLC35C2	5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR		chr20	46359383	46359385
cg23085846	TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2	3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR		chr20	63891164	63891166
cg05829961	RXRA	Body		chr9	134371797	134371799
cg23928643				chr2	24785988	24785990
cg26969933	C6orf47;BAT4	TSS1500;3'UTR		chr6	31662122	31662124
cg03211711	NLRC4;NLRC4;NLRC4;NLRC4	TSS1500;TSS1500;TSS1500;TSS1500		chr2	32265979	32265981
cg04172728	TMOD2;TMOD2	Body;Body	Unclassified_Cell_type_specific	chr15	51801664	51801666
cg05352714	MSI2;MSI2	Body;Body		chr17	57534165	57534167
cg11804414	DIABLO;DIABLO;DIABLO;DIABLO	TSS200;TSS200;TSS200;TSS200		chr12	122227589	122227591
cg14574118	SUCLG2	TSS1500	Unclassified	chr3	67655927	67655929
cg10876297	MED26	Body		chr19	16595313	16595315
cg08232510				chr20	53910511	53910513
cg26007445	TEX2	Body		chr17	64210205	64210207
cg24722535	A2ML1;A2ML1	TSS200;Body		chr12	8844876	8844878
cg21932286	TM4SF4	Body		chr3	149476485	149476487
cg02212339	TRPV1;TRPV1;TRPV1;TRPV1	Body;Body;Body;Body		chr17	3590371	3590373
cg11328284	STK39	Body		chr2	168075602	168075604
cg17128308	STX18	3'UTR		chr4	4419136	4419138
cg25714060	TPST2;MIR548J;TPST2	5'UTR;TSS1500;5'UTR		chr22	26556526	26556528
cg19619585	ASB7;ASB7	Body;Body		chr15	100629813	100629815
cg13107386	WDR81;WDR81;WDR81;WDR81	Body;Body;Body;Body		chr17	1733311	1733313
cg22739421	ZCCHC7;ZCCHC7;ZCCHC7;ZCCHC7;ZCCHC7	Body;Body;Body;Body;Body		chr9	37208208	37208210
cg11201447	MIR1204;PVT1	TSS200;Body		chr8	127795816	127795818
cg18247172				chr15	90827002	90827004
cg03963853	MGRN1;MGRN1;MGRN1;MGRN1	Body;Body;Body;Body		chr16	4682367	4682369
cg05513455				chr6	104940393	104940395
cg19983457	STIM2;STIM2;STIM2	Body;Body;Body		chr4	26936819	26936821
cg24864528				chr6	2796076	2796078
cg22131172	C13orf29	TSS1500		chr13	110870517	110870519
cg03584886	NMUR1	Body		chr2	231525066	231525068
cg01408124	ARMC9;ARMC9;ARMC9	Body;Body;Body		chr2	231281029	231281031
cg13647725				chr11	69426324	69426326
cg19035595	ENG;ENG;ENG	TSS200;Body;Body		chr9	127847223	127847225
cg00716819	AIFM2;AIFM2	Body;Body		chr10	70122868	70122870
cg07055745	INPP4A;INPP4A;INPP4A;INPP4A	Body;Body;Body;Body		chr2	98549198	98549200
cg26574777	PCCA;PCCA	Body;Body		chr13	100275221	100275223
cg15986644	DIP2C	Body	Promoter_Associated	chr10	470742	470744
cg07238065	MED15;MED15;MED15;MED15;MED15;MED15	Body;Body;Body;Body;Body;Body	Gene_Associated	chr22	20566441	20566443
cg11373114				chr20	25115431	25115433
cg09849302	RIPPLY3	TSS1500	Unclassified_Cell_type_specific	chr21	37006132	37006134
cg02226827				chr4	184833478	184833480
cg23060465	EIF2C2;EIF2C2	Body;Body		chr8	140615445	140615447
cg13630239	RRP12;RRP12	3'UTR;3'UTR		chr10	97356789	97356791
cg11058631	IDI1;IDI1;IDI2-AS1;IDI2-AS1;IDI2-AS1;IDI2-AS1	Body;ExonBnd;Body;Body;Body;Body		chr10	1042745	1042747
cg23872155	UBAC2;UBAC2;UBAC2;MIR548AN	Body;Body;Body;Body		chr13	99374780	99374782
cg05044173	CD4	TSS200	Promoter_Associated_Cell_type_specific	chr12	6789333	6789335
cg20003499	LMTK2	Body		chr7	98126479	98126481
cg21365733	TMEM212-AS1	TSS1500		chr3	171901826	171901828
cg17765669			Unclassified	chr3	17151873	17151875
cg03275302	ARHGAP11A;ARHGAP11A;ARHGAP11A	Body;Body;Body		chr15	32636527	32636529
cg10086936	MICU1;MICU1;MICU1	Body;Body;Body		chr10	72509662	72509664
cg25088113	PATL2	TSS1500		chr15	44677295	44677297
cg22977745	NCOR2;NCOR2	Body;Body		chr12	124424384	124424386
cg26498670				chr2	231672591	231672593
cg27037400	SPIDR;SPIDR;SPIDR;SPIDR	Body;Body;Body;Body		chr8	47507490	47507492
cg18205668	CCM2;CCM2;CCM2;CCM2;CCM2	Body;TSS1500;Body;Body;Body	Promoter_Associated_Cell_type_specific	chr7	45027295	45027297
cg21317441	UBAC2;UBAC2;UBAC2;MIR548AN	Body;Body;Body;Body		chr13	99332718	99332720
cg03001159	TBCD	Body		chr17	82776600	82776602
cg16402452	AGAP2;AGAP2	Body;Body	Unclassified	chr12	57736071	57736073
cg12423658	CARS2	Body		chr13	110666207	110666209
cg07281649	KANSL1;KANSL1;KANSL1	Body;Body;Body		chr17	46171232	46171234
cg16646463	DCTN1;DCTN1	Body;5'UTR		chr2	74383399	74383401
cg11410920	SYS1;SYS1-DBNDD2	3'UTR;Body	Unclassified_Cell_type_specific	chr20	45368384	45368386
cg21458836	FOXP1;FOXP1;FOXP1;FOXP1;FOXP1;FOXP1;FOXP1;FOXP1	Body;Body;Body;Body;Body;Body;Body;Body		chr3	71039495	71039497
cg04246236	NRD1;NRD1;NRD1	Body;Body;Body		chr1	51793839	51793841
cg06765837	MED26	Body	Promoter_Associated_Cell_type_specific	chr19	16594377	16594379
cg07106737	ZFPM1	Body	Unclassified_Cell_type_specific	chr16	88532626	88532628
cg09271065	PARP4	5'UTR		chr13	24508559	24508561
cg08953370	C17orf85	3'UTR		chr17	3810194	3810196
cg14424407	SRCIN1	Body	Unclassified_Cell_type_specific	chr17	38578584	38578586
cg17527975	DENND3	Body	Gene_Associated	chr8	141182387	141182389
cg18876602	CAP2	TSS1500		chr6	17393240	17393242
cg23230445	JARID2;JARID2;JARID2;JARID2	ExonBnd;ExonBnd;Body;Body		chr6	15496145	15496147
cg17907520				chr15	31387985	31387987
cg06397283	PPAP2B	Body		chr1	56511506	56511508
cg01488553	UIMC1;UIMC1;UIMC1	Body;Body;Body		chr5	176934470	176934472
cg12553238			Unclassified_Cell_type_specific	chr14	20491857	20491859
cg14363469			Unclassified_Cell_type_specific	chr9	96027985	96027987
cg15689410	LBX2;LBX2	Body;TSS1500	Unclassified_Cell_type_specific	chr2	74499872	74499874
cg26250129	SLC38A10;SLC38A10	Body;Body		chr17	81266102	81266104
cg25197500	WDR45L	Body		chr17	82623928	82623930
cg27169709	LIMS1;LIMS1;LIMS1;LIMS1;LIMS1	5'UTR;5'UTR;Body;Body;Body		chr2	108631712	108631714
cg22935962	LMBR1L;LMBR1L;LMBR1L	Body;Body;Body		chr12	49105384	49105386
cg09072626	ZNF710	5'UTR		chr15	90020212	90020214
cg25119028				chr17	49833626	49833628
cg04192126				chr5	77028779	77028781
cg06637924	MAT1A	Body		chr10	80281521	80281523
cg16649298	WDR60	Body		chr7	158871482	158871484
cg20058097	PPP1CC;PPP1CC	Body;Body		chr12	110725323	110725325
cg10417140			Unclassified_Cell_type_specific	chr5	68962959	68962961
cg09084712	GTF2A1;GTF2A1;GTF2A1	5'UTR;Body;Body		chr14	81205777	81205779
cg27363081	SORL1	Body		chr11	121485402	121485404
cg06015382	DUSP3	Body		chr17	43769676	43769678
cg04685387	PARD3	Body		chr10	34636711	34636713
cg16824282	GP9	TSS200		chr3	129060746	129060748
cg15048810	TOPBP1	Body	Gene_Associated_Cell_type_specific	chr3	133620196	133620198
cg00910503	HEXDC	Body		chr17	82435789	82435791
cg12424088			Unclassified_Cell_type_specific	chr7	156616592	156616594
cg05511978	ANKFY1;ANKFY1;ANKFY1	Body;Body;Body		chr17	4189010	4189012
cg16396540	CLIP1;CLIP1;CLIP1	5'UTR;5'UTR;5'UTR		chr12	122405242	122405244
cg25951981	GABRA4	TSS200		chr4	46993725	46993727
cg03851741	MAN2A2	Body		chr15	90915839	90915841
cg11262012	FUBP3	Body		chr9	130598500	130598502
cg20425130	KLHL6	1stExon	Promoter_Associated	chr3	183555456	183555458
cg13924996	ADRBK1	3'UTR	Promoter_Associated_Cell_type_specific	chr11	67286357	67286359
cg07804973	TFDP1;TFDP1	Body;Body		chr13	113609090	113609092
cg17408527	ZSCAN18;ZSCAN18	TSS200;TSS200		chr19	58118599	58118601
cg16966315				chr7	149415226	149415228
cg02053451				chr2	47695465	47695467
cg18798412	HIVEP2	5'UTR		chr6	142796829	142796831
cg01012339	GNAI2;GNAI2;GNAI2	TSS200;5'UTR;Body		chr3	50230610	50230612
cg21647532			Unclassified_Cell_type_specific	chr2	85414861	85414863
cg09187557				chr10	6401062	6401064
cg03228145	AACSL	TSS1500		chr5	178777761	178777763
cg19274890	DPP6	TSS200		chr7	153886956	153886958
cg08530578	GATAD2A	5'UTR		chr19	19421512	19421514
cg16494465	AQP7	Body		chr9	33391333	33391335
cg20701730				chr3	45212442	45212444
cg08350962	SH3BP5;SH3BP5	Body;5'UTR		chr3	15303773	15303775
cg10967866	INPP5A	Body		chr10	132548659	132548661
cg09383860	IL18BP;IL18BP;IL18BP;IL18BP;IL18BP	TSS200;TSS1500;TSS200;TSS1500;TSS1500	Promoter_Associated_Cell_type_specific	chr11	71998790	71998792
cg02665297	WIPI2;WIPI2;WIPI2;WIPI2;WIPI2	3'UTR;3'UTR;3'UTR;3'UTR;3'UTR		chr7	5231352	5231354
cg21033943	CMIP	Body	Promoter_Associated_Cell_type_specific	chr16	81469396	81469398
cg02954866	ALPK2	Body		chr18	58536709	58536711
cg20198611	RXRB	Body		chr6	33195911	33195913
cg08419861	DNM2;DNM2;DNM2;DNM2;DNM2	Body;Body;Body;Body;Body		chr19	10776988	10776990
cg13510318	FAM53B	Body		chr10	124655560	124655562
cg25480232	MAML1	Body		chr5	179769142	179769144
cg04384031				chr17	19728171	19728173
cg11095027	TOLLIP	3'UTR	Gene_Associated_Cell_type_specific	chr11	1275835	1275837
cg07841371	TTLL10;TTLL10	Body;TSS200		chr1	1179531	1179533
cg18366919	EPHX3;EPHX3	TSS1500;TSS1500	Unclassified	chr19	15233552	15233554
cg22252762	TPRA1;TPRA1;TPRA1	Body;5'UTR;5'UTR		chr3	127580643	127580645
cg00830710	DNAH10	Body		chr12	123935213	123935215
cg24265600	CXADR	Body		chr21	17590571	17590573
cg04611437	SEC31B	TSS200		chr10	100519939	100519941
cg14520939				chr20	32856976	32856978
cg27481953	EZR-AS1;EZR	Body;TSS1500		chr6	158819965	158819967
cg12070987	NDUFS8	Body		chr11	68036587	68036589
cg16395997	WDR8	Body		chr1	3646233	3646235
cg03061719	CS	Body		chr12	56294171	56294173
cg07543400				chr17	3921089	3921091
cg26459189				chr10	88104942	88104944
cg23907051	TBC1D8	Body		chr2	101113842	101113844
cg26038697				chr17	76132366	76132368
cg15192374	PIK3CD	Body		chr1	9716570	9716572
cg17022038	MAST3	Body		chr19	18149668	18149670
cg05186426				chr12	49732160	49732162
cg02765696	XRCC4;XRCC4;XRCC4	Body;Body;Body		chr5	83312968	83312970
cg14231297	ZSCAN18;ZSCAN18	TSS200;TSS200		chr19	58118533	58118535
cg06966839	MSI2;MSI2	Body;Body		chr17	57608579	57608581
cg05251703	GATAD2A	5'UTR		chr19	19421452	19421454
cg26014973	KIAA0430;KIAA0430;KIAA0430	5'UTR;5'UTR;5'UTR		chr16	15639430	15639432
cg10202714	ACSF3;ACSF3;ACSF3	Body;Body;Body		chr16	89117269	89117271
cg06675775	FAM73B	Body		chr9	129069177	129069179
cg08594651				chr11	47393845	47393847
cg19862334	MIR6779;LASP1;LASP1;LASP1	TSS1500;Body;Body;Body		chr17	38913570	38913572
cg06993524	KIF16B;KIF16B;KIF16B	Body;Body;Body		chr20	16392647	16392649
cg18764192	FBXO18;FBXO18	Body;TSS200		chr10	5894202	5894204
cg23073132	MYB;MYB;MYB;MYB;MYB;MYB;MYB;MYB	Body;Body;Body;Body;Body;Body;Body;Body		chr6	135196876	135196878
cg18496235	ZKSCAN2	3'UTR		chr16	25237533	25237535
cg15574823	VPS53;VPS53	Body;Body		chr17	539219	539221
cg26146808				chr20	49767264	49767266
cg21650861	TPRA1;TPRA1;TPRA1	5'UTR;5'UTR;TSS200		chr3	127580624	127580626
cg20152841	MOBKL2A	3'UTR		chr19	2073190	2073192
cg03825855	CCDC101	5'UTR		chr16	28556922	28556924
cg21148188				chr2	42097309	42097311
cg00201196	C16orf68	Body		chr16	8644611	8644613
cg11006453	EIF2C2;EIF2C2	Body;Body	Promoter_Associated	chr8	140589085	140589087
cg24169315	PASK	Body	Promoter_Associated_Cell_type_specific	chr2	241108943	241108945
cg13915752	CDK19	Body		chr6	110811409	110811411
cg05162166				chr22	41288455	41288457
cg22381196	DHODH	TSS1500		chr16	72007476	72007478
cg08234428	ZSWIM6	Body		chr5	61534750	61534752
cg02352716			Unclassified_Cell_type_specific	chr17	1201510	1201512
cg00538439	SLC12A8;SLC12A8	Body;Body		chr3	125147111	125147113
cg21876656	UBAC2;UBAC2;UBAC2	Body;Body;Body		chr13	99215695	99215697
cg01623438	CTSZ	TSS1500	Promoter_Associated	chr20	59007838	59007840
cg00901320	GLT1D1	Body		chr12	128853988	128853990
cg17581870	C7orf50;C7orf50;MIR339;C7orf50	Body;Body;TSS1500;Body	Unclassified_Cell_type_specific	chr7	1023328	1023330
cg09493899	ZNF148	5'UTR		chr3	125351286	125351288
cg27452619				chr7	38034637	38034639
cg13395086	SIPA1;SIPA1	Body;Body	Promoter_Associated	chr11	65640973	65640975
cg26438284	CD81	Body		chr11	2385076	2385078
cg24969261	CRYM	Body		chr16	21276329	21276331
cg20155875	WIPI1	Body		chr17	68456425	68456427
cg23410129	SRC;SRC	5'UTR;5'UTR	Unclassified_Cell_type_specific	chr20	37383604	37383606
cg00330518	SKI	Body		chr1	2296720	2296722
cg00776080	TENC1;TENC1	5'UTR;TSS1500	Promoter_Associated	chr12	53048537	53048539
cg09006915				chr9	124198051	124198053
cg26377120	GNA12;GNA12;GNA12	Body;Body;Body		chr7	2792362	2792364
cg24265771	GRK6;GRK6;GRK6	Body;Body;Body	Promoter_Associated	chr5	177429548	177429550
cg04564377	SLC41A3;SLC41A3;SLC41A3;SLC41A3;SLC41A3	Body;Body;Body;Body;Body		chr3	126034534	126034536
cg25574765	PPFIA1;PPFIA1	Body;Body	Unclassified_Cell_type_specific	chr11	70365424	70365426
cg00539174	CTSZ	TSS1500	Unclassified_Cell_type_specific	chr20	59008378	59008380
cg01048252				chr6	2798677	2798679
cg26179134	DTNB;DTNB;DTNB;DTNB;DTNB	TSS1500;TSS1500;TSS1500;TSS1500;TSS1500		chr2	25674743	25674745
cg25262105				chr19	2319505	2319507
cg03835123	GATAD2A;GATAD2A	Body;Body		chr19	19474927	19474929
cg26991761	SSH3;SSH3	5'UTR;1stExon	Promoter_Associated	chr11	67303592	67303594
cg08320303				chr17	56699429	56699431
cg04340435	TMCO3;DCUN1D2	5'UTR;TSS1500		chr13	113491657	113491659
cg11699257	INTS9;INTS9;INTS9	Body;Body;Body	Unclassified_Cell_type_specific	chr8	28776937	28776939
cg16854275	PNOC;PNOC;PNOC	1stExon;5'UTR;Body		chr8	28338728	28338730
cg16292077	PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B	Body;Body;Body;Body;Body;Body		chr7	616564	616566
cg20030158	FAM193B;FAM193B	Body;Body		chr5	177539385	177539387
cg24323734	RHBDD1;RHBDD1;RHBDD1;RHBDD1	ExonBnd;ExonBnd;Body;Body		chr2	226906801	226906803
cg13798630	HNRNPM;HNRNPM;HNRNPM	Body;Body;Body		chr19	8471765	8471767
cg00220162	LHX1	Body		chr17	36940354	36940356
cg10085474	CTBP1;CTBP1	Body;Body		chr4	1228146	1228148
cg24956391	SRC;SRC	5'UTR;5'UTR	Unclassified_Cell_type_specific	chr20	37383595	37383597
cg12192749				chr7	16990170	16990172
cg24254409			Unclassified_Cell_type_specific	chr19	14507231	14507233
cg17927313	PLEKHO2	Body		chr15	64859392	64859394
cg17676225	LIMK2;LIMK2;LIMK2	Body;Body;Body	Gene_Associated	chr22	31272631	31272633
cg05579764	C12orf66;C12orf66;C12orf66	Body;Body;Body		chr12	64193989	64193991
cg03646821	AGFG1;AGFG1;AGFG1;AGFG1	Body;Body;Body;Body	Gene_Associated_Cell_type_specific	chr2	227534965	227534967
cg16938634				chr8	33572584	33572586
cg06093202	UBA6	Body		chr4	67680689	67680691
cg10690481	INPP5F	Body		chr10	119814627	119814629
cg19286773	NPLOC4	Body		chr17	81598712	81598714
cg08221848				chr14	77120102	77120104
cg26648465	KIAA0182;KIAA0182	5'UTR;Body		chr16	85642805	85642807
cg21647062				chr19	35485647	35485649
cg20113012	CDC42EP4	TSS1500		chr17	73312520	73312522
cg17935085	NPC1;NPC1	ExonBnd;Body		chr18	23539453	23539455
cg23496836				chr4	183455719	183455721
cg20300794	DGKD;DGKD	Body;Body	Gene_Associated_Cell_type_specific	chr2	233451058	233451060
cg05150023			Unclassified_Cell_type_specific	chr5	42944164	42944166
cg21264151	SLC16A6;SLC16A6;ARSG	5'UTR;5'UTR;5'UTR	Unclassified_Cell_type_specific	chr17	68288704	68288706
cg05327068	NOP10	3'UTR		chr15	34341843	34341845
cg26884033	PCNT;PCNT	ExonBnd;Body		chr21	46366596	46366598
cg00464927	LRP5	Body		chr11	68371652	68371654
cg26052456	ZNF205;ZNF205;ZNF205;ZNF205-AS1;ZNF205-AS1	TSS200;TSS200;TSS200;Body;Body		chr16	3112393	3112395
cg19504001	LRP1	Body	Unclassified_Cell_type_specific	chr12	57195956	57195958
cg26109510	C2orf42	Body	Unclassified_Cell_type_specific	chr2	70181326	70181328
cg26382697	CD81	Body		chr11	2385481	2385483
